TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS/MINUS
Golden_State_Warriors,82,67,15,0.817,,115.9,43.1,87.1,49.5,12,31.2,38.3,17.8,22.6,78.8,9.4,35,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,11.6
San_Antonio_Spurs,82,61,21,0.744,,105.3,39.3,83.7,46.9,9.2,23.5,39.1,17.6,22,79.7,10,33.9,43.9,23.8,13.4,8,5.9,4.1,19.3,19.8,7.2
Houston_Rockets,82,55,27,0.671,,115.3,40.3,87.2,46.2,14.4,40.3,35.7,20.3,26.5,76.6,10.9,33.5,44.4,25.2,15.1,8.2,4.3,5,19.9,20.4,5.8
Boston_Celtics,82,53,29,0.646,,108,38.6,85.1,45.4,12,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42,25.2,13.3,7.5,4.1,5.2,20.6,20.3,2.6
Utah_Jazz,82,51,31,0.622,,100.7,37,79.5,46.6,9.6,26,37.2,17.1,22.9,74.7,9.4,33.8,43.2,20.1,13.6,6.7,5,3.8,18.8,20.2,3.9
Toronto_Raptors,82,51,31,0.622,,106.9,39.2,84.4,46.4,8.8,24.3,36.3,19.7,24.7,79.6,10.6,32.6,43.3,18.5,12.7,8.3,4.9,4.8,20.8,20.3,4.2
Cleveland_Cavaliers,82,51,31,0.622,,110.3,39.9,84.9,47,13,33.9,38.4,17.5,23.3,74.8,9.3,34.4,43.7,22.7,13.7,6.6,4,4.3,18.1,20.6,3.2
LA_Clippers,82,51,31,0.622,,108.7,39.5,83.2,47.5,10.3,27.4,37.5,19.3,26,74.5,9,34,43,22.5,13,7.5,4.2,3.1,19.8,22.4,4.3
Washington_Wizards,82,49,33,0.598,,109.2,41.3,87,47.5,9.2,24.8,37.2,17.3,22.1,78.4,10.3,32.6,42.9,23.9,14.2,8.5,4.1,4.6,21.3,19.8,1.8
Oklahoma_City_Thunder,82,47,35,0.573,,106.6,39.5,87.4,45.2,8.4,25.8,32.7,19.2,25.8,74.5,12.2,34.4,46.6,21,15,7.9,5,5.5,20.9,20.7,0.8
Memphis_Grizzlies,82,43,39,0.524,,100.5,36.4,82.6,43.5,9.4,26.5,35.4,18.3,23.4,78.4,10.8,32,42.8,21.3,12.9,8,4.2,5,22.4,20.8,0.5
Atlanta_Hawks,82,43,39,0.524,,103.2,38.1,84.4,45.1,8.9,26.1,34.1,18.1,24.9,72.8,10.3,34.1,44.3,23.6,15.8,8.2,4.8,5.2,18.2,21.6,-0.9
Indiana_Pacers,82,42,40,0.512,,105.1,39.3,84.5,46.5,8.6,23,37.6,17.9,22.1,81,9,33,42,22.5,13.8,8.2,5,5,19.5,19.5,-0.2
Miwaukee_Bucks,82,42,40,0.512,,103.6,38.8,81.9,47.4,8.8,23.7,37,17.2,22.4,76.8,8.8,31.6,40.4,24.2,14,8.1,5.3,4.6,20.2,19.3,-0.2
Chicago_Bulls,82,41,41,0.5,,102.9,38.6,87.1,44.4,7.6,22.3,34,18,22.5,79.8,12.2,34.1,46.3,22.6,13.6,7.8,4.8,4.6,17.7,18.8,0.4
Portland_Trail_Blazers,82,41,41,0.5,,107.9,39.5,86.1,45.6,10.4,27.7,37.5,18.5,23.7,78,10.1,33.5,43.7,21.1,13.7,7,5,5.3,21.2,19.8,-0.5
