,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Utah_Jazz*,82,242.7,36.0,81.5,0.442,8.1,23.0,0.35100000000000003,27.9,58.5,0.478,14.9,20.1,0.742,10.5,31.9,42.4,20.1,7.4,5.2,15.3,20.3,95.1
1,San_Antonio_Spurs*,82,243.4,37.1,83.7,0.444,6.8,18.9,0.36,30.3,64.8,0.46799999999999997,15.9,21.4,0.745,9.9,32.2,42.1,20.7,7.9,4.4,14.2,19.7,97.0
2,Boston_Celtics*,82,240.6,36.5,83.1,0.439,8.8,25.8,0.341,27.7,57.4,0.483,15.4,20.1,0.764,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1
3,Miami_Heat*,82,243.0,35.6,81.5,0.43700000000000006,8.2,24.1,0.342,27.3,57.4,0.47600000000000003,18.0,24.3,0.742,11.4,31.4,42.9,22.3,8.6,4.8,17.4,20.1,97.4
4,Portland_Trail_Blazers*,82,242.4,37.7,86.7,0.435,6.6,19.6,0.335,31.2,67.1,0.465,15.7,21.0,0.7490000000000001,11.7,31.7,43.4,20.2,7.5,5.4,12.2,21.2,97.8
5,Houston_Rockets*,82,243.4,36.2,83.5,0.433,8.0,23.0,0.349,28.1,60.5,0.465,17.5,23.7,0.738,10.0,31.7,41.7,19.9,8.0,4.3,14.0,19.6,97.8
6,Toronto_Raptors*,82,242.1,38.2,86.9,0.439,6.4,18.9,0.33799999999999997,31.8,67.9,0.46799999999999997,15.8,20.9,0.758,11.0,33.6,44.6,20.4,8.0,3.6,12.2,18.7,98.6
7,Indiana_Pacers*,82,241.2,37.9,83.1,0.456,6.5,19.6,0.335,31.4,63.5,0.494,16.2,21.4,0.759,10.6,30.9,41.5,20.7,6.8,5.8,12.2,18.7,98.6
8,Oklahoma_City_Thunder*,82,241.2,38.1,83.5,0.456,7.7,22.5,0.34299999999999997,30.3,61.0,0.49700000000000005,14.8,19.9,0.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7
9,Philadelphia_76ers*,82,240.6,37.0,86.4,0.428,7.2,21.4,0.337,29.7,65.0,0.45799999999999996,18.7,24.5,0.763,11.7,32.8,44.5,21.0,8.3,3.6,16.2,18.8,99.9
10,Washington_Wizards*,82,240.6,36.4,82.3,0.442,8.3,23.9,0.349,28.1,58.4,0.48100000000000004,19.0,25.7,0.741,10.6,32.3,42.9,23.2,6.7,3.0,14.3,21.5,100.1
11,Milwaukee_Bucks*,82,241.5,37.7,85.2,0.44299999999999995,7.4,22.9,0.322,30.3,62.2,0.48700000000000004,17.7,23.6,0.7509999999999999,11.9,32.0,43.8,21.4,8.9,5.3,16.4,21.1,100.5
12,Minnesota_Timberwolves*,82,243.0,38.4,84.3,0.456,8.5,23.7,0.358,29.9,60.6,0.494,15.6,21.3,0.731,11.4,32.9,44.3,23.7,7.8,4.5,13.9,20.0,100.9
13,Golden_State_Warriors*,82,242.1,38.0,82.8,0.45899999999999996,7.7,22.3,0.34600000000000003,30.3,60.5,0.501,17.2,23.5,0.733,11.2,31.2,42.5,22.8,6.9,5.0,14.4,20.3,100.9
14,Cleveland_Cavaliers*,82,242.4,38.1,84.7,0.45,7.4,22.0,0.336,30.7,62.7,0.49,17.6,23.3,0.755,10.9,33.8,44.7,21.9,7.1,5.3,15.1,18.8,101.2
15,New_Orleans_Pelicans*,82,242.4,38.0,84.5,0.45,9.0,24.8,0.364,29.0,59.7,0.485,17.3,22.9,0.753,12.3,33.9,46.1,22.3,7.3,3.8,16.3,22.1,102.3
